,name,company,year,Price,kms_driven,fuel_type
518,Mahindra XUV500 W10,Mahindra,2016,0.33713355048859933,0.10250000000000001,Diesel
519,Volkswagen Polo Trendline,Volkswagen,2015,0.10423452768729641,0.0625,Diesel
520,Toyota Etios Liva,Toyota,2012,0.10423452768729641,0.21250000000000002,Diesel
521,Mahindra TUV300 T4,Mahindra,2016,0.16612377850162866,0.07375000000000001,Diesel
522,Hyundai Elite i20,Hyundai,2015,0.14332247557003258,0.07500000000000001,Petrol
523,Hyundai Santro Xing,Hyundai,2014,0.048534201954397393,0.14250000000000002,Petrol
524,Maruti Suzuki Zen,Maruti,2003,0.005863192182410423,0.15000000000000002,Petrol
525,Maruti Suzuki Ciaz,Maruti,2016,0.20195439739413681,0.125,Petrol
526,Hyundai Eon Era,Hyundai,2013,0.052117263843648204,0.09925,Petrol
527,Hyundai Elantra 1.8,Hyundai,2012,0.1530944625407166,0.1625,Petrol
528,Maruti Suzuki Swift,Maruti,2010,0.0781758957654723,0.1675,Diesel
529,Maruti Suzuki Zen,Maruti,2008,0.03094462540716612,0.115,Petrol
530,Hyundai Eon Era,Hyundai,2012,0.05146579804560261,0.095,Petrol
531,Hyundai Grand i10,Hyundai,2016,0.11400651465798045,0.0675,Petrol
532,Hyundai Verna Fluidic,Hyundai,2011,0.10912052117263843,0.10750000000000001,Diesel
533,Ford EcoSport Trend,Ford,2014,0.14169381107491857,0.11750000000000001,Petrol
534,Hyundai i20 Magna,Hyundai,2011,0.06840390879478828,0.10500000000000001,Petrol
535,Chevrolet Beat Diesel,Chevrolet,2016,0.048859609120521175,0.04834,Diesel
536,Tata Indica eV2,Tata,2015,0.035830618892508145,0.15026250000000002,Diesel
537,Jaguar XF 2.2,Jaguar,2013,0.7035830618892508,0.07250000000000001,Diesel
538,Audi Q5 2.0,Audi,2014,0.7687296416938111,0.085,Diesel
539,BMW 3 Series,BMW,2011,0.34039087947882735,0.08750000000000001,Diesel
540,Maruti Suzuki Swift,Maruti,2015,0.1449511400651466,0.05500000000000001,Petrol
541,BMW X1 sDrive20d,BMW,2012,0.3241042345276873,0.10250000000000001,Diesel
542,Maruti Suzuki S,Maruti,2016,0.19055374592833876,0.052500000000000005,Diesel
543,Maruti Suzuki Ertiga,Maruti,2013,0.1449511400651466,0.12000000000000001,Diesel
544,Maruti Suzuki Alto,Maruti,2016,0.0781758957654723,0.095,Petrol
545,Honda City SV,Honda,2014,0.1449511400651466,0.085,Diesel
546,Volkswagen Vento Comfortline,Volkswagen,2011,0.06840390879478828,0.1148325,Petrol
547,Honda City 1.5,Honda,2005,0.02931596091205212,0.17,Petrol
548,Audi A4 2.0,Audi,2016,0.6091205211726385,0.11000000000000001,Diesel
549,Mahindra KUV100,Mahindra,2017,0.10749185667752442,0.08750000000000001,Diesel
550,Tata Zest XE,Tata,2018,0.13680781758957655,0.2564075,Diesel
551,Mahindra XUV500 W8,Mahindra,2015,0.28338762214983715,0.07150000000000001,Diesel
552,Maruti Suzuki Swift,Maruti,2017,0.20195439739413681,0.10450000000000001,Diesel
553,Tata Sumo Gold,Tata,2014,0.07980456026058631,0.29000000000000004,Diesel
554,Maruti Suzuki Swift,Maruti,2009,0.05863192182410423,0.14750000000000002,Petrol
555,Mahindra Scorpio 2.6,Mahindra,2004,0.04723127035830618,0.14500000000000002,Diesel
556,Maruti Suzuki Omni,Maruti,2009,0.017915309446254073,0.1125,Petrol
557,Mitsubishi Pajero Sport,Mitsubishi,2015,0.4755700325732899,0.10647500000000001,Diesel
558,Renault Duster,Renault,2014,0.250814332247557,0.018500000000000003,Diesel
559,Volkswagen Jetta Comfortline,Volkswagen,2009,0.13680781758957655,0.13625,Diesel
560,Maruti Suzuki Ertiga,Maruti,2012,0.31596091205211724,0.5,Diesel
561,Audi A4 2.0,Audi,2013,0.4820846905537459,0.0675,Diesel
562,Volvo S80 Summum,Volvo,2015,0.5928338762214984,0.10500000000000001,Diesel
563,Toyota Corolla Altis,Toyota,2014,0.247557003257329,0.07250000000000001,Petrol
564,Mitsubishi Pajero Sport,Mitsubishi,2015,0.5521172638436482,0.09250000000000001,Diesel
565,Chevrolet Beat LT,Chevrolet,2012,0.03420195439739414,0.09000000000000001,Petrol
566,BMW X1,BMW,2011,0.31596091205211724,0.085,Diesel
